11331,329,329
11332,175,175
11333,304,379
11334,329,339
11335,304,315
11336,334,395
11337,334,395
11338,156,278
11339,266,266
11340,949,3500
11341,699,699
11342,349,499
11343,228,295
11344,95,115
11345,626,750
11346,1099,49997
11347,158,1200
11348,255,377
11349,239,249
11350,225,258
11351,475,655
11352,320,411
11353,375,430
11354,325,390
11355,390,390
11356,250,295
11357,383,385
11358,499,650
11359,119,127
11360,139,140
11361,127,165
11362,132,175
11363,135,139
11364,120,139
11365,425,475
11366,425,475
11367,350,443
11368,395,455
11369,435,450
11370,509,525
11371,873,875
11372,899,1050
11373,398,479
11374,59,65
11376,295,304
11377,185,199
11378,180,215
11379,162,205
11380,158,200
11381,120,125
11382,210,217
11383,312,315
11384,150,218
11385,540,599
11386,125,299
11388,260,297
11389,316,354
11390,189,209
11391,189,209
11392,199,239
11393,159,199
11394,165,169
11395,285,311
11397,171,225
11398,0,0
11399,190,195
11400,215,215
11401,109,149
11402,162,175
11403,209,209
11404,130,155
11405,275,299
11406,225,228
11407,119,119
11408,245,250
11409,219,228
11410,206,209
11411,129,129
11412,135,140
11413,195,195
11414,45,69
11415,234,245
11416,144,149
11417,525,525
11418,585,849
11419,819,825
11420,407,425
11421,300,325
11422,215,219
11423,188,221
11424,177,177
11425,195,197
11426,159,219
11427,375,380
11428,133,135
11429,200,210
11430,239,241
11431,179,235
11432,199,245
11433,278,284
11434,189,202
11435,575,579
11436,621,625
11437,400,415
11438,500,1099
11439,799,875
11440,399,895
11441,695,810
11442,750,795
11444,550,750
11445,550,750
11446,799,889
11448,898,1500
11449,725,725
11451,845,846
11452,835,863
11453,425,435
11454,899,899
11455,899,925
11456,599,633
11458,392,949
11459,75,83
11460,449,450
11461,459,495
11462,557,557
11463,557,650
11464,535,560
11465,789,795
11466,999,1076
11467,475,475
11468,480,495
11469,550,582
11470,549,575
11471,549,869
11472,300,348
11473,158,165
11476,185,190
11477,152,161
11478,133,140
11479,389,400
11480,459,481
11481,345,380
11482,139,152
11483,139,152
11484,170,195
11485,170,195
11486,300,309
11487,299,299
11488,175,175
11489,188,199
11491,275,275
11492,205,209
11493,319,375
11494,325,350
11495,139,170
11496,185,195
11497,230,234
11498,134,139
11499,160,195
11500,345,375
11501,137,175
11502,139,164
11503,135,137
11505,175,179
11506,135,139
11507,177,185
11508,999,1000
11509,450,475
11510,315,493
11511,390,495
11512,825,828
11513,495,499
11514,485,495
11515,395,550
11516,450,500
11517,848,848
11518,675,799
11519,200,280
11520,325,588
11522,147,159
11523,190,195
11524,225,229
11525,162,162
11526,288,288
11527,241,245
11528,1099,1199
11529,425,425
11530,449,545
11531,479,557
11532,495,499
11533,449,450
11534,525,545
11535,685,695
11536,685,695
11537,575,579
11539,499,720
11540,250,259
11541,340,349
11542,225,234
11543,248,249
11544,139,159
11545,175,195
11546,127,160
11547,205,209
11548,170,189
11549,170,189
11550,206,218
11551,250,275
11552,475,479
11553,260,269
11554,180,215
11555,269,324
11556,390,395
11557,385,385
11559,139,145
11560,1895,2176
11561,0,0
11562,2525,2530
11563,2300,2395
11564,3200,3400
11565,135,135
11566,139,165
11567,119,132
11568,99,177
11570,245,245
11571,190,190
11572,73,88
11573,73,88
11574,228,229
11575,142,151
11576,150,152
11577,129,162
11578,120,129
11579,129,135
11580,152,155
11581,137,145
11582,105,165
11583,209,209
11584,209,210
11585,75,125
11586,139,145
11587,129,130
11588,236,249
11589,155,155
11590,0,0
11592,158,163
11593,389,395
11594,325,329
11595,99,189
11596,196,250
11597,202,495
11598,169,175
11599,145,185
11600,240,247
11601,182,21965
11602,500,500
11603,135,247
11604,395,506
11605,430,506
11606,158,191
11607,239,608
11608,506,33333
11609,455,495
11610,470,475
11611,152,990
11612,145,27497
11613,166,167
11614,109,180
11615,275,275
11616,455,495
11617,127,127
11618,316,465
11619,221,350
11620,145,152
11621,215,229
11622,485,499
11624,500,525
